battery_capacity_kwh,charger_power_kw,initial_soc_pct,target_soc_pct,charging_time_hours,energy_required_kwh,temperature_c,battery_age_cycles,vehicle_weight_kg,hour_of_day,estimated_cost_inr,vehicle_model,charger_type,user_type,day_of_week
95.0,45.02,19.1,99.6,1.89,78.66,26.7,800,2585.0,23,629.28,Audi e-tron,DC Fast,Commuter,Friday
75.0,7.06,28.2,95.5,8.12,54.17,3.1,200,1844.0,19,433.36,Tesla Model 3,Level 2,Long-Distance Traveler,Friday
100.0,6.97,23.0,97.8,12.21,79.82,4.2,600,2509.0,23,638.56,Tesla Model X,Level 2,Casual Driver,Saturday
65.0,46.73,41.8,82.5,0.68,28.62,1.0,600,1800.0,8,228.96,Chevy Bolt EV,DC Fast,Commuter,Wednesday
75.0,48.94,30.0,99.9,1.15,54.06,12.6,200,1844.0,19,432.48,Tesla Model 3,DC Fast,Long-Distance Traveler,Sunday
75.0,48.59,33.6,94.8,0.91,46.59,16.2,200,1979.0,19,372.72,Tesla Model Y,DC Fast,Long-Distance Traveler,Saturday
75.0,6.7,15.2,78.5,7.45,50.2,33.4,200,1844.0,14,401.6,Tesla Model 3,Level 2,Commuter,Tuesday
75.0,6.82,48.5,84.6,4.35,28.96,3.5,400,1844.0,14,231.68,Tesla Model 3,Level 2,Commuter,Monday
75.0,47.57,30.1,99.4,1.22,52.64,23.0,400,1844.0,23,421.12,Tesla Model 3,DC Fast,Commuter,Thursday
42.2,7.18,9.3,81.7,4.38,30.84,22.4,200,1195.0,14,246.72,BMW i3,Level 2,Casual Driver,Saturday
100.0,3.15,41.0,79.8,13.27,41.8,37.9,800,2241.0,8,334.4,Tesla Model S,Level 1,Commuter,Friday
100.0,49.79,39.7,82.1,0.88,43.44,25.6,1200,2509.0,23,347.52,Tesla Model X,DC Fast,Casual Driver,Sunday
72.6,6.52,61.9,82.9,2.66,16.96,-5.1,200,1800.0,23,135.68,Hyundai Ioniq 5,Level 2,Casual Driver,Thursday
65.0,6.57,26.4,98.0,7.71,47.29,15.9,400,1800.0,23,378.32,Chevy Bolt EV,Level 2,Commuter,Tuesday
75.0,7.09,42.8,81.9,4.18,29.59,22.4,1000,1844.0,14,236.72,Tesla Model 3,Level 2,Commuter,Saturday
75.0,6.36,8.0,92.1,10.71,65.46,29.1,800,1844.0,19,523.68,Tesla Model 3,Level 2,Casual Driver,Tuesday
40.0,7.1,24.7,98.1,4.61,31.04,6.5,800,1598.0,23,248.32,Nissan Leaf,Level 2,Commuter,Saturday
75.0,44.97,12.6,81.2,1.3,55.3,2.7,800,1979.0,14,442.4,Tesla Model Y,DC Fast,Long-Distance Traveler,Monday
100.0,6.6,45.4,83.7,6.1,39.7,11.0,1400,2241.0,8,317.6,Tesla Model S,Level 2,Casual Driver,Saturday
72.6,49.15,39.0,82.5,0.68,34.4,40.5,1400,1800.0,19,275.2,Hyundai Ioniq 5,DC Fast,Long-Distance Traveler,Wednesday
40.0,6.48,18.3,79.0,4.07,26.33,0.2,400,1598.0,19,210.64,Nissan Leaf,Level 2,Commuter,Monday
75.0,6.41,21.2,82.5,7.31,46.32,18.1,1500,1979.0,14,370.56,Tesla Model Y,Level 2,Commuter,Tuesday
75.0,46.08,36.8,79.8,0.72,35.03,0.1,600,1979.0,19,280.24,Tesla Model Y,DC Fast,Casual Driver,Tuesday
65.0,6.44,31.1,81.9,5.59,35.93,-0.1,200,1800.0,14,287.44,Chevy Bolt EV,Level 2,Long-Distance Traveler,Tuesday
100.0,46.84,58.2,78.9,0.45,21.08,15.0,200,2241.0,14,168.64,Tesla Model S,DC Fast,Long-Distance Traveler,Thursday
100.0,47.89,43.0,96.4,1.26,55.45,10.7,600,2509.0,23,443.6,Tesla Model X,DC Fast,Commuter,Sunday
75.0,48.97,38.0,81.6,0.74,33.61,13.2,200,1844.0,19,268.88,Tesla Model 3,DC Fast,Commuter,Tuesday
75.0,45.13,27.4,94.3,1.28,52.95,6.7,200,1844.0,19,423.6,Tesla Model 3,DC Fast,Casual Driver,Sunday
72.6,6.83,17.7,81.3,7.0,47.25,25.7,1000,1800.0,8,378.0,Hyundai Ioniq 5,Level 2,Casual Driver,Saturday
65.0,48.73,22.1,83.7,0.82,40.77,24.5,400,1800.0,23,326.16,Chevy Bolt EV,DC Fast,Commuter,Tuesday
75.0,46.19,48.0,91.7,0.75,33.54,14.6,400,1979.0,23,268.32,Tesla Model Y,DC Fast,Casual Driver,Saturday
100.0,6.56,59.4,78.4,3.03,19.73,29.2,400,2241.0,23,157.84,Tesla Model S,Level 2,Commuter,Tuesday
100.0,46.35,38.5,83.1,0.93,45.18,16.3,1200,2241.0,23,361.44,Tesla Model S,DC Fast,Commuter,Tuesday
75.0,45.91,47.7,84.0,0.51,27.34,19.1,600,1844.0,19,218.72,Tesla Model 3,DC Fast,Commuter,Tuesday
75.0,6.42,52.7,79.8,3.32,21.01,27.5,400,1979.0,19,168.08,Tesla Model Y,Level 2,Commuter,Wednesday
100.0,6.93,19.7,80.1,9.45,65.48,0.7,1500,2241.0,23,523.84,Tesla Model S,Level 2,Commuter,Thursday
40.0,44.89,59.2,78.8,0.1,7.96,23.2,400,1598.0,19,63.68,Nissan Leaf,DC Fast,Long-Distance Traveler,Sunday
100.0,46.65,28.3,99.6,1.55,71.29,20.0,200,2509.0,23,570.32,Tesla Model X,DC Fast,Commuter,Friday
75.0,49.61,41.2,81.9,0.69,30.99,16.5,1000,1844.0,8,247.92,Tesla Model 3,DC Fast,Commuter,Friday
75.0,6.59,33.4,83.7,5.93,38.58,25.6,800,1844.0,19,308.64,Tesla Model 3,Level 2,Casual Driver,Tuesday
75.0,3.13,34.9,82.4,11.99,37.23,9.2,1200,1844.0,19,297.84,Tesla Model 3,Level 1,Casual Driver,Friday
40.0,47.44,12.9,84.9,0.54,28.88,19.2,800,1598.0,23,231.04,Nissan Leaf,DC Fast,Long-Distance Traveler,Wednesday
75.0,6.63,8.0,79.4,8.37,55.5,11.2,1200,1979.0,23,444.0,Tesla Model Y,Level 2,Casual Driver,Saturday
75.0,6.68,57.7,91.3,3.91,25.45,17.8,200,1979.0,19,203.6,Tesla Model Y,Level 2,Commuter,Tuesday
95.0,6.53,48.6,83.9,5.37,34.73,28.7,400,2585.0,23,277.84,Audi e-tron,Level 2,Commuter,Thursday
77.4,7.11,20.6,79.9,6.55,46.31,17.8,200,1960.0,23,370.48,Kia EV6,Level 2,Long-Distance Traveler,Wednesday
75.0,3.2,49.1,81.3,7.79,24.56,16.0,400,1844.0,19,196.48,Tesla Model 3,Level 1,Commuter,Tuesday
40.0,48.66,64.8,79.6,0.14,6.0,16.9,1200,1598.0,14,48.0,Nissan Leaf,DC Fast,Commuter,Tuesday
100.0,6.43,37.1,82.2,7.49,47.25,8.5,600,2241.0,23,378.0,Tesla Model S,Level 2,Commuter,Monday
75.0,6.83,8.0,97.3,10.56,68.01,23.8,200,1844.0,19,544.08,Tesla Model 3,Level 2,Commuter,Tuesday
65.0,49.22,51.0,80.9,0.52,20.14,11.4,1200,1800.0,23,161.12,Chevy Bolt EV,DC Fast,Commuter,Monday
100.0,2.97,41.2,79.0,13.33,39.7,8.2,1000,2241.0,8,317.6,Tesla Model S,Level 1,Casual Driver,Sunday
100.0,7.16,57.0,78.4,3.03,21.97,26.4,200,2509.0,23,175.76,Tesla Model X,Level 2,Casual Driver,Sunday
75.0,7.14,31.3,80.0,5.12,36.76,21.6,400,1979.0,14,294.08,Tesla Model Y,Level 2,Long-Distance Traveler,Tuesday
95.0,7.13,38.5,79.2,5.53,38.68,20.4,400,2585.0,14,309.44,Audi e-tron,Level 2,Commuter,Tuesday
40.0,6.71,18.9,94.7,5.11,32.85,0.9,1000,1598.0,23,262.8,Nissan Leaf,Level 2,Commuter,Friday
95.0,7.16,40.7,79.9,5.69,40.48,0.4,600,2585.0,14,323.84,Audi e-tron,Level 2,Commuter,Saturday
100.0,44.72,42.5,83.7,0.94,42.83,10.5,1000,2241.0,14,342.64,Tesla Model S,DC Fast,Commuter,Friday
42.2,6.44,15.1,83.7,4.63,29.23,17.8,1400,1195.0,19,233.84,BMW i3,Level 2,Commuter,Friday
75.0,6.93,20.5,95.2,8.84,57.61,26.8,800,1844.0,19,460.88,Tesla Model 3,Level 2,Commuter,Thursday
77.4,6.57,8.0,95.3,10.88,67.8,19.3,400,1960.0,23,542.4,Kia EV6,Level 2,Casual Driver,Thursday
40.0,6.46,21.2,82.5,3.91,25.01,25.0,400,1598.0,19,200.08,Nissan Leaf,Level 2,Commuter,Friday
75.0,2.94,47.0,79.0,8.21,24.23,22.6,800,1844.0,14,193.84,Tesla Model 3,Level 1,Commuter,Tuesday
72.6,6.46,8.0,92.4,11.2,69.41,-9.3,200,1800.0,23,555.28,Hyundai Ioniq 5,Level 2,Casual Driver,Thursday
65.0,6.55,39.5,92.3,5.5,34.41,19.4,1400,1800.0,8,275.28,Chevy Bolt EV,Level 2,Commuter,Saturday
100.0,7.1,73.2,84.8,1.66,12.02,9.8,400,2241.0,23,96.16,Tesla Model S,Level 2,Long-Distance Traveler,Tuesday
75.0,3.29,27.0,84.8,15.05,48.44,-6.2,400,1844.0,8,387.52,Tesla Model 3,Level 1,Long-Distance Traveler,Monday
75.0,47.62,54.1,83.3,0.5,22.92,9.0,400,1979.0,8,183.36,Tesla Model Y,DC Fast,Commuter,Monday
75.0,44.1,55.6,81.5,0.47,20.99,1.1,1400,1844.0,23,167.92,Tesla Model 3,DC Fast,Commuter,Friday
75.0,6.39,19.2,91.5,8.84,54.75,22.1,1400,1844.0,23,438.0,Tesla Model 3,Level 2,Commuter,Thursday
75.0,47.34,46.4,80.4,0.54,25.49,20.2,1500,1979.0,19,203.92,Tesla Model Y,DC Fast,Long-Distance Traveler,Sunday
100.0,2.98,17.2,98.0,30.0,86.73,2.7,200,2509.0,14,693.84,Tesla Model X,Level 1,Casual Driver,Wednesday
75.0,7.01,59.2,79.4,2.13,15.35,23.3,600,1979.0,19,122.8,Tesla Model Y,Level 2,Commuter,Wednesday
100.0,6.64,42.9,78.4,5.44,36.46,13.4,200,2241.0,8,291.68,Tesla Model S,Level 2,Casual Driver,Friday
75.0,6.4,40.7,93.0,6.59,40.11,25.4,800,1979.0,19,320.88,Tesla Model Y,Level 2,Commuter,Monday
95.0,6.94,44.1,79.0,4.91,34.29,11.8,400,2585.0,23,274.32,Audi e-tron,Level 2,Commuter,Sunday
75.0,6.61,22.4,84.1,7.31,47.69,12.9,800,1844.0,23,381.52,Tesla Model 3,Level 2,Commuter,Sunday
75.0,6.36,17.3,80.2,7.89,49.92,6.4,600,1979.0,19,399.36,Tesla Model Y,Level 2,Casual Driver,Saturday
75.0,6.55,31.5,92.5,8.43,52.43,-12.0,1400,1844.0,14,419.44,Tesla Model 3,Level 2,Commuter,Wednesday
65.0,6.92,39.4,80.8,4.03,28.21,31.4,1000,1800.0,14,225.68,Chevy Bolt EV,Level 2,Casual Driver,Tuesday
100.0,7.08,30.2,80.9,7.29,51.23,17.4,200,2509.0,14,409.84,Tesla Model X,Level 2,Commuter,Monday
75.0,3.07,29.0,82.5,13.45,41.11,26.2,600,1979.0,23,328.88,Tesla Model Y,Level 1,Casual Driver,Friday
75.0,7.0,29.7,79.4,5.8,40.48,0.0,400,1844.0,19,323.84,Tesla Model 3,Level 2,Commuter,Sunday
75.0,49.08,75.0,83.0,0.11,6.12,25.1,200,1844.0,14,48.96,Tesla Model 3,DC Fast,Commuter,Friday
75.0,3.24,49.0,82.4,8.14,25.91,28.1,1000,1979.0,19,207.28,Tesla Model Y,Level 1,Commuter,Sunday
100.0,49.01,36.4,98.2,1.47,68.68,-4.8,1000,2509.0,14,549.44,Tesla Model X,DC Fast,Casual Driver,Thursday
72.6,7.03,38.3,83.7,4.87,33.16,21.5,600,1800.0,23,265.28,Hyundai Ioniq 5,Level 2,Commuter,Thursday
65.0,6.93,24.6,80.8,5.59,38.68,6.1,400,1800.0,19,309.44,Chevy Bolt EV,Level 2,Casual Driver,Tuesday
65.0,3.01,46.7,95.8,11.63,33.35,9.3,800,1800.0,14,266.8,Chevy Bolt EV,Level 1,Casual Driver,Friday
72.6,6.4,27.8,78.8,6.05,38.75,8.7,1000,1800.0,23,310.0,Hyundai Ioniq 5,Level 2,Casual Driver,Wednesday
75.0,45.9,23.1,92.0,1.27,57.1,-3.8,1400,1844.0,23,456.8,Tesla Model 3,DC Fast,Commuter,Tuesday
75.0,3.21,61.7,82.9,5.15,16.27,14.6,1200,1979.0,23,130.16,Tesla Model Y,Level 1,Commuter,Saturday
75.0,6.46,21.6,82.9,7.71,49.56,1.9,800,1979.0,19,396.48,Tesla Model Y,Level 2,Commuter,Thursday
77.4,49.85,16.1,99.1,1.4,66.64,29.0,800,1960.0,23,533.12,Kia EV6,DC Fast,Commuter,Sunday
100.0,7.09,48.9,78.9,4.35,30.41,23.2,200,2241.0,23,243.28,Tesla Model S,Level 2,Casual Driver,Friday
100.0,45.89,53.4,97.6,0.98,45.04,15.2,200,2241.0,19,360.32,Tesla Model S,DC Fast,Long-Distance Traveler,Thursday
75.0,3.24,9.2,96.2,23.28,71.15,40.5,1400,1844.0,8,569.2,Tesla Model 3,Level 1,Casual Driver,Wednesday
75.0,7.02,35.0,98.2,7.24,48.02,16.7,1200,1844.0,14,384.16,Tesla Model 3,Level 2,Long-Distance Traveler,Tuesday
72.6,44.36,23.4,91.4,1.08,51.11,11.6,1000,1800.0,23,408.88,Hyundai Ioniq 5,DC Fast,Casual Driver,Wednesday
40.0,6.49,56.5,80.0,1.63,10.29,-0.9,800,1598.0,14,82.32,Nissan Leaf,Level 2,Casual Driver,Sunday
42.2,6.64,37.1,81.7,2.98,19.13,16.3,1000,1195.0,14,153.04,BMW i3,Level 2,Commuter,Wednesday
100.0,48.81,29.7,80.1,1.11,53.57,5.3,400,2241.0,14,428.56,Tesla Model S,DC Fast,Commuter,Wednesday
75.0,3.15,54.9,92.9,9.88,29.52,11.6,1200,1979.0,23,236.16,Tesla Model Y,Level 1,Long-Distance Traveler,Sunday
75.0,3.27,48.1,82.0,8.02,26.03,14.2,200,1844.0,23,208.24,Tesla Model 3,Level 1,Commuter,Friday
75.0,3.21,11.8,82.7,17.74,56.68,35.4,1400,1979.0,14,453.44,Tesla Model Y,Level 1,Long-Distance Traveler,Wednesday
77.4,6.83,35.4,97.8,7.53,48.61,21.7,1200,1960.0,23,388.88,Kia EV6,Level 2,Casual Driver,Wednesday
95.0,3.06,53.1,82.5,10.04,30.38,-0.2,800,2585.0,19,243.04,Audi e-tron,Level 1,Commuter,Saturday
100.0,6.73,30.5,97.2,10.52,67.47,17.3,1400,2241.0,23,539.76,Tesla Model S,Level 2,Casual Driver,Saturday
77.4,45.37,21.8,83.9,1.15,51.14,34.7,1200,1960.0,19,409.12,Kia EV6,DC Fast,Casual Driver,Tuesday
100.0,47.95,33.9,81.5,1.01,49.37,11.3,1000,2241.0,19,394.96,Tesla Model S,DC Fast,Commuter,Thursday
72.6,6.38,21.7,80.4,7.41,46.7,41.7,1200,1800.0,23,373.6,Hyundai Ioniq 5,Level 2,Commuter,Saturday
72.6,45.27,38.5,82.7,0.85,36.74,-12.0,1200,1800.0,14,293.92,Hyundai Ioniq 5,DC Fast,Casual Driver,Monday
42.2,48.1,21.0,94.1,0.72,33.34,1.6,800,1195.0,23,266.72,BMW i3,DC Fast,Commuter,Saturday
40.0,48.91,25.6,79.1,0.48,22.1,11.9,400,1598.0,23,176.8,Nissan Leaf,DC Fast,Commuter,Sunday
95.0,6.35,56.6,84.6,4.46,27.63,28.9,200,2585.0,23,221.04,Audi e-tron,Level 2,Casual Driver,Thursday
100.0,48.79,44.3,92.2,1.05,48.09,20.9,1400,2241.0,8,384.72,Tesla Model S,DC Fast,Casual Driver,Monday
95.0,47.34,43.0,90.2,0.96,45.59,16.0,600,2585.0,8,364.72,Audi e-tron,DC Fast,Casual Driver,Wednesday
40.0,7.08,33.4,94.5,3.78,25.54,9.2,1000,1598.0,14,204.32,Nissan Leaf,Level 2,Commuter,Sunday
75.0,6.74,28.0,97.1,8.67,54.62,7.5,200,1844.0,19,436.96,Tesla Model 3,Level 2,Casual Driver,Tuesday
100.0,6.68,40.2,80.6,6.06,40.62,18.8,600,2509.0,19,324.96,Tesla Model X,Level 2,Commuter,Saturday
75.0,3.09,15.4,83.0,16.71,50.98,18.6,600,1844.0,23,407.84,Tesla Model 3,Level 1,Commuter,Wednesday
77.4,6.83,44.8,97.3,6.95,44.77,-3.5,1200,1960.0,14,358.16,Kia EV6,Level 2,Casual Driver,Thursday
75.0,6.86,64.9,82.0,1.91,12.9,19.8,1400,1979.0,23,103.2,Tesla Model Y,Level 2,Casual Driver,Sunday
75.0,3.17,46.4,90.4,11.02,33.51,16.0,200,1979.0,19,268.08,Tesla Model Y,Level 1,Commuter,Sunday
40.0,3.27,31.3,84.9,6.76,22.16,28.4,600,1598.0,8,177.28,Nissan Leaf,Level 1,Casual Driver,Thursday
100.0,46.54,48.4,80.8,0.7,32.7,17.2,1200,2509.0,14,261.6,Tesla Model X,DC Fast,Long-Distance Traveler,Thursday
75.0,45.56,18.9,82.0,1.13,50.9,2.6,200,1844.0,23,407.2,Tesla Model 3,DC Fast,Long-Distance Traveler,Friday
42.2,7.16,28.8,83.6,3.3,23.5,24.0,600,1195.0,14,188.0,BMW i3,Level 2,Casual Driver,Thursday
75.0,6.96,35.4,90.5,6.62,44.73,38.9,200,1844.0,8,357.84,Tesla Model 3,Level 2,Commuter,Friday
75.0,7.16,19.1,84.4,7.8,54.88,-6.9,600,1979.0,8,439.04,Tesla Model Y,Level 2,Casual Driver,Wednesday
100.0,3.2,10.1,80.9,22.8,72.72,13.5,200,2241.0,19,581.76,Tesla Model S,Level 1,Commuter,Sunday
75.0,6.68,36.8,96.0,7.03,44.66,21.8,200,1844.0,14,357.28,Tesla Model 3,Level 2,Commuter,Sunday
95.0,47.97,26.7,81.4,1.05,53.34,13.5,200,2585.0,23,426.72,Audi e-tron,DC Fast,Casual Driver,Wednesday
77.4,6.99,52.6,81.0,3.54,24.34,-4.1,600,1960.0,8,194.72,Kia EV6,Level 2,Long-Distance Traveler,Friday
77.4,47.09,39.4,84.3,0.89,39.66,-11.0,400,1960.0,14,317.28,Kia EV6,DC Fast,Commuter,Sunday
72.6,48.66,22.7,84.6,1.05,47.8,5.2,1200,1800.0,23,382.4,Hyundai Ioniq 5,DC Fast,Commuter,Friday
65.0,7.1,20.9,97.2,7.56,50.21,17.2,600,1800.0,23,401.68,Chevy Bolt EV,Level 2,Long-Distance Traveler,Sunday
100.0,6.35,36.3,91.6,9.97,60.51,41.5,600,2241.0,14,484.08,Tesla Model S,Level 2,Casual Driver,Friday
75.0,45.07,41.0,84.7,0.76,34.67,33.6,400,1844.0,14,277.36,Tesla Model 3,DC Fast,Long-Distance Traveler,Wednesday
100.0,7.14,43.6,96.7,8.11,54.97,28.3,600,2509.0,19,439.76,Tesla Model X,Level 2,Casual Driver,Thursday
100.0,3.07,41.9,81.3,13.46,41.03,10.2,800,2241.0,19,328.24,Tesla Model S,Level 1,Commuter,Saturday
75.0,7.14,32.1,83.3,5.77,41.0,35.8,1500,1844.0,19,328.0,Tesla Model 3,Level 2,Casual Driver,Friday
75.0,7.07,47.7,84.6,4.18,29.5,4.5,800,1844.0,19,236.0,Tesla Model 3,Level 2,Commuter,Wednesday
65.0,48.0,59.3,78.7,0.19,12.89,26.1,1500,1800.0,19,103.12,Chevy Bolt EV,DC Fast,Commuter,Sunday
75.0,6.85,27.2,90.6,7.71,51.13,37.6,200,1844.0,8,409.04,Tesla Model 3,Level 2,Casual Driver,Monday
65.0,7.14,61.3,81.8,1.99,13.88,9.8,600,1800.0,23,111.04,Chevy Bolt EV,Level 2,Commuter,Saturday
75.0,6.53,38.7,80.0,4.79,31.59,14.6,1000,1844.0,19,252.72,Tesla Model 3,Level 2,Long-Distance Traveler,Monday
75.0,3.19,39.2,80.5,9.9,31.68,26.0,200,1844.0,14,253.44,Tesla Model 3,Level 1,Commuter,Tuesday
75.0,6.69,43.0,80.5,4.16,28.4,21.8,600,1844.0,23,227.2,Tesla Model 3,Level 2,Commuter,Sunday
40.0,2.92,39.4,79.1,5.79,16.88,5.4,1400,1598.0,14,135.04,Nissan Leaf,Level 1,Commuter,Sunday
100.0,6.86,43.7,83.2,5.78,39.73,18.5,600,2241.0,8,317.84,Tesla Model S,Level 2,Long-Distance Traveler,Tuesday
75.0,2.96,32.6,80.6,13.24,38.82,38.1,800,1979.0,19,310.56,Tesla Model Y,Level 1,Commuter,Friday
75.0,6.41,35.0,99.2,8.23,49.46,26.8,400,1979.0,19,395.68,Tesla Model Y,Level 2,Commuter,Tuesday
95.0,49.22,57.8,97.9,0.87,38.52,22.5,400,2585.0,19,308.16,Audi e-tron,DC Fast,Long-Distance Traveler,Wednesday
65.0,6.63,47.4,82.0,3.4,22.63,18.9,600,1800.0,23,181.04,Chevy Bolt EV,Level 2,Commuter,Thursday
100.0,6.71,38.4,90.0,8.51,54.75,34.2,800,2241.0,23,438.0,Tesla Model S,Level 2,Commuter,Wednesday
75.0,7.11,35.4,82.3,5.13,36.26,12.7,400,1844.0,19,290.08,Tesla Model 3,Level 2,Long-Distance Traveler,Tuesday
75.0,6.44,55.2,80.0,3.17,20.66,-4.2,200,1844.0,19,165.28,Tesla Model 3,Level 2,Long-Distance Traveler,Tuesday
100.0,6.75,27.4,92.0,10.06,65.04,18.4,400,2241.0,23,520.32,Tesla Model S,Level 2,Casual Driver,Saturday
100.0,7.0,19.1,82.4,9.46,65.61,11.1,400,2241.0,23,524.88,Tesla Model S,Level 2,Commuter,Friday
75.0,6.41,65.1,84.1,2.32,14.34,18.6,200,1979.0,19,114.72,Tesla Model Y,Level 2,Commuter,Friday
40.0,7.08,30.3,93.5,3.85,25.56,17.1,1400,1598.0,23,204.48,Nissan Leaf,Level 2,Commuter,Friday
40.0,7.1,39.3,78.2,2.28,16.13,11.1,1000,1598.0,23,129.04,Nissan Leaf,Level 2,Commuter,Thursday
100.0,7.1,20.2,79.9,8.81,62.46,8.9,800,2241.0,19,499.68,Tesla Model S,Level 2,Casual Driver,Wednesday
100.0,47.77,45.1,82.1,0.9,38.93,7.6,200,2509.0,14,311.44,Tesla Model X,DC Fast,Commuter,Thursday
75.0,6.8,32.8,96.4,7.7,49.47,11.2,400,1844.0,8,395.76,Tesla Model 3,Level 2,Commuter,Saturday
42.2,6.94,28.9,94.0,4.42,29.04,6.7,1000,1195.0,19,232.32,BMW i3,Level 2,Long-Distance Traveler,Sunday
